gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime
302,1,2015,2016-01-23 19:00:00,78,82,1,3,1.771,2.463,5.766,1,0
303,1,2015,2016-01-23 19:00:00,89,74,0,1,676,3.885,5.439,0,0
304,1,2015,2016-01-23 19:00:00,75,85,3,0,8.687,1.115,198,1,0
305,1,2015,2016-01-23 19:00:00,76,71,0,0,1.251,5.024,3.725,0,0
306,1,2015,2016-01-23 19:00:00,77,73,1,1,1.541,2.939,552,1,1
307,1,2015,2016-01-23 19:00:00,90,86,2,1,6.936,1.839,1.225,0,0
308,1,2015,2016-01-23 21:30:00,81,88,2,2,1.649,2.729,5.622,1,1
309,1,2015,2016-01-24 17:30:00,72,84,1,2,5.925,2.715,136,1,2
310,1,2015,2016-01-24 20:00:00,83,80,0,1,2.445,2.932,4.623,0,1
311,1,2015,2016-02-02 23:45:00,83,74,0,0,8.857,828,315,0,0
312,1,2015,2016-02-02 23:45:00,75,87,2,0,0.6,271,129,0,0
313,1,2015,2016-02-02 23:45:00,79,82,0,3,469,1.271,826,0,2
314,1,2015,2016-02-02 23:45:00,77,88,0,1,3.784,3.829,2.387,0,1
315,1,2015,2016-02-02 23:45:00,81,71,2,0,9.456,506,38,0,0
316,1,2015,2016-02-03 00:00:00,78,73,1,2,484,2.782,2.378,1,1
317,1,2015,2016-02-03 00:00:00,89,85,3,0,8.985,829,186,2,0
318,1,2015,2016-02-03 00:00:00,76,84,1,1,667,1.986,1.344,0,0
319,1,2015,2016-02-03 23:45:00,72,86,3,0,8.645,1.082,273,1,0
320,1,2015,2016-02-03 23:45:00,90,80,0,0,1.544,313,5.326,0,0
321,1,2015,2016-02-06 16:45:00,88,75,1,3,2.193,2.132,5.675,0,1
322,1,2015,2016-02-06 19:00:00,86,76,1,0,8.488,1.166,346,1,0
323,1,2015,2016-02-06 19:00:00,85,72,0,3,284,805,8.911,0,3
324,1,2015,2016-02-06 19:00:00,82,90,1,0,8.571,1.263,166,0,0
325,1,2015,2016-02-06 19:00:00,84,78,1,1,4.121,3.042,2.837,1,0
326,1,2015,2016-02-06 19:00:00,71,79,2,0,2.751,3.144,4.105,1,0
327,1,2015,2016-02-06 19:00:00,87,77,2,2,6.829,2.273,898,0,0
328,1,2015,2016-02-06 21:30:00,74,81,1,0,3.839,3.199,2.962,1,0
329,1,2015,2016-02-07 17:30:00,73,83,0,2,171,3.165,5.125,0,2
330,1,2015,2016-02-07 20:00:00,80,89,1,1,603,2.449,1.521,0,0
331,1,2015,2016-02-13 16:45:00,77,89,2,1,5.111,2.694,2.195,1,1
332,1,2015,2016-02-13 19:00:00,84,74,0,1,2.038,3.107,4.855,0,0
333,1,2015,2016-02-13 19:00:00,79,81,2,2,4.293,3.326,2.381,0,0
334,1,2015,2016-02-13 19:00:00,72,76,0,1,5.109,2.919,1.972,0,1
335,1,2015,2016-02-13 19:00:00,78,90,1,2,1.024,2.248,6.728,1,1
336,1,2015,2016-02-13 19:00:00,73,85,1,3,4.243,3.188,2.569,0,1
337,1,2015,2016-02-13 21:30:00,80,86,5,1,8.205,1.398,397,3,0
338,1,2015,2016-02-14 16:00:00,83,75,2,1,6.167,226,1.573,0,1
339,1,2015,2016-02-14 18:05:00,71,87,0,6,134,1.023,8.843,0,2
340,1,2015,2016-02-14 20:15:00,88,82,1,2,5.529,2.744,1.727,0,0
341,1,2015,2016-02-27 16:45:00,81,77,1,0,1.598,3.332,507,1,0
342,1,2015,2016-02-27 19:00:00,90,73,0,0,3.398,3.331,3.271,0,0
343,1,2015,2016-02-27 19:00:00,75,79,1,0,6.639,2.299,1.062,0,0
344,1,2015,2016-02-27 19:00:00,74,80,1,2,4.643,3.336,2.021,1,0
345,1,2015,2016-02-27 19:00:00,85,71,2,1,8.681,1.145,174,0,0
346,1,2015,2016-02-27 21:30:00,76,78,3,2,6.115,2.385,0.15,3,0
